    Z      	  a(m)    	   a'    	  b(m) 	   b'
2.86E-4	1.900176E-4	1.233106E-4	1.900176E-4	1.233106E-4
2.87E-4	1.900178E-4	1.237417E-4	1.900178E-4	1.237417E-4
2.88E-4	1.900179E-4	1.241728E-4	1.900179E-4	1.241728E-4
2.89E-4	1.90018E-4	1.246039E-4	1.90018E-4	1.246039E-4
2.9E-4	1.900181E-4	1.25035E-4	1.900181E-4	1.25035E-4
2.91E-4	1.900183E-4	1.254661E-4	1.900183E-4	1.254661E-4
2.92E-4	1.900184E-4	1.258972E-4	1.900184E-4	1.258972E-4
2.93E-4	1.900185E-4	1.263283E-4	1.900185E-4	1.263283E-4
2.94E-4	1.900186E-4	1.267594E-4	1.900186E-4	1.267594E-4
2.95E-4	1.900188E-4	1.271905E-4	1.900188E-4	1.271905E-4
2.96E-4	1.900189E-4	1.276217E-4	1.900189E-4	1.276217E-4
2.97E-4	1.90019E-4	1.280528E-4	1.90019E-4	1.280528E-4
2.98E-4	1.900191E-4	1.284839E-4	1.900191E-4	1.284839E-4
2.99E-4	1.900193E-4	1.28915E-4	1.900193E-4	1.28915E-4
3E-4	1.900194E-4	1.293461E-4	1.900194E-4	1.293461E-4
3.01E-4	1.900195E-4	1.297772E-4	1.900195E-4	1.297772E-4
3.02E-4	1.900197E-4	1.302083E-4	1.900197E-4	1.302083E-4
3.03E-4	1.900198E-4	1.306394E-4	1.900198E-4	1.306394E-4
3.04E-4	1.900199E-4	1.310705E-4	1.900199E-4	1.310705E-4
3.05E-4	1.900201E-4	1.315016E-4	1.900201E-4	1.315016E-4
3.06E-4	1.900202E-4	1.319327E-4	1.900202E-4	1.319327E-4
3.07E-4	1.900203E-4	1.323638E-4	1.900203E-4	1.323638E-4
3.08E-4	1.900205E-4	1.327949E-4	1.900205E-4	1.327949E-4
3.09E-4	1.900206E-4	1.33226E-4	1.900206E-4	1.33226E-4
3.1E-4	1.900207E-4	1.336571E-4	1.900207E-4	1.336571E-4
