Current (A)= 1.0E-5
Energy (V)= 8000.0
Mass (u)= 40.0
Emittance (m-rad)= 9.45E-7

    Z      	  a (m)    	   a'    	  b (m) 	   b'
3.56E-3	1.146505E-4	-5.801545E-3	1.472839E-4	1.252854E-2
3.57E-3	1.145925E-4	-5.791248E-3	1.474093E-4	1.25357E-2
3.58E-3	1.145347E-4	-5.780945E-3	1.475346E-4	1.254285E-2
3.59E-3	1.144769E-4	-5.770633E-3	1.476601E-4	1.254999E-2
3.6059E-3	1.14387E-4	-5.533196E-3	1.478575E-4	1.227593E-2
3.6218E-3	1.143009E-4	-5.29591E-3	1.480505E-4	1.200147E-2
3.6377E-3	1.142186E-4	-5.058768E-3	1.482391E-4	1.172663E-2
3.6536E-3	1.141401E-4	-4.821765E-3	1.484234E-4	1.14514E-2
3.6695E-3	1.140653E-4	-4.584893E-3	1.486033E-4	1.117581E-2
3.6854E-3	1.139943E-4	-4.348146E-3	1.487788E-4	1.089985E-2
3.7013E-3	1.13927E-4	-4.111519E-3	1.489499E-4	1.062354E-2
3.7172E-3	1.138635E-4	-3.875003E-3	1.491166E-4	1.034689E-2
3.7331E-3	1.138038E-4	-3.638594E-3	1.492789E-4	1.00699E-2
3.749E-3	1.137478E-4	-3.402284E-3	1.494368E-4	9.792585E-3
3.7649E-3	1.136956E-4	-3.166068E-3	1.495903E-4	9.514956E-3
3.7808E-3	1.136471E-4	-2.929939E-3	1.497394E-4	9.237018E-3
3.7967E-3	1.136024E-4	-2.693891E-3	1.498841E-4	8.958781E-3
3.8126E-3	1.135615E-4	-2.457917E-3	1.500243E-4	8.680255E-3
3.8285E-3	1.135243E-4	-2.222011E-3	1.501601E-4	8.401448E-3
3.8444E-3	1.134908E-4	-1.986167E-3	1.502914E-4	8.12237E-3
3.8603E-3	1.134611E-4	-1.750378E-3	1.504184E-4	7.843028E-3
3.8762E-3	1.134352E-4	-1.514639E-3	1.505409E-4	7.563433E-3
3.8921E-3	1.134129E-4	-1.278942E-3	1.506589E-4	7.283593E-3
3.908E-3	1.133945E-4	-1.043282E-3	1.507725E-4	7.003517E-3
3.9239E-3	1.133798E-4	-8.076516E-4	1.508816E-4	6.723215E-3
3.9398E-3	1.133688E-4	-5.720456E-4	1.509863E-4	6.442694E-3
3.9557E-3	1.133616E-4	-3.364572E-4	1.510865E-4	6.161965E-3
3.9716E-3	1.133581E-4	-1.008801E-4	1.511822E-4	5.881037E-3
3.9875E-3	1.133584E-4	1.346918E-4	1.512735E-4	5.599918E-3
4.0034E-3	1.133624E-4	3.70265E-4	1.513603E-4	5.318617E-3
